,Store,Name,Address,City,Phone,Store Qty,Pin,Product Name,Product_ID
0,0035,STATE STORE #35,255 S 300 E,Salt Lake City,801-533-6444,0,,Crater Lake,910543
1,0006,STATE STORE # 6,75 W 400 N,Logan,435-752-4145,6,,Vida,089221
2,0009,STATE STORE # 9,5056 S STATE ST,Salt Lake City,801-262-7789,0,,Vida,089221
3,0011,STATE STORE #11,7250 W 3500 S,Magna,801-250-2911,0,,Vida,089221
4,0012,STATE STORE #12,402 E 6TH AVE  - STE 1,Salt Lake City,801-533-5905,0,,Vida,089221
5,0016,STATE STORE #16,125 W 9000 S,Sandy,801-565-7922,6,,Vida,089221
6,0029,STATE STORE #29,1814 E MURRAY HOLLADAY RD,Salt Lake City,801-278-3572,0,,Vida,089221
7,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,Vida,089221
8,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Vida,089221
9,0035,STATE STORE #35,255 S 300 E,Salt Lake City,801-533-6444,0,,Vida,089221
10,0043,STATE STORE #43,262 E GATEWAY DR,Heber City,435-657-3088,0,,Vida,089221
11,0047,STATE STORE #47,865 W 1700 S,SYRACUSE,385-423-7030,0,,Vida,089221
12,0049,STATE STORE #49,1285 N EXCHANGE DR,SARATOGA SPRINGS,385-484-7416,0,,Vida,089221
13,0050,STATE STORE #50,579 LAGOON DRPO BOX 8,FARMINGTON,385-988-7050,0,,Vida,089221
14,0001,STATE STORE # 1,205 W 400 S,Salt Lake City,801-533-5901,0,,Blantons - Regular,016850
15,0002,STATE STORE # 2,1154 ASHTON AVE,Salt Lake City,801-463-4939,0,,Blantons - Regular,016850
16,0003,STATE STORE # 3,3381 S REDWOOD RD,Salt Lake City,801-972-5735,0,,Blantons - Regular,016850
17,0004,STATE STORE # 4,1414 S FOOTHILL DR,Salt Lake City,801-584-8387,0,,Blantons - Regular,016850
18,0005,STATE STORE # 5,166 S FREEDOM BLVD,Provo,801-373-6270,0,,Blantons - Regular,016850
19,0006,STATE STORE # 6,75 W 400 N,Logan,435-752-4145,0,,Blantons - Regular,016850
20,0008,STATE STORE # 8,520 N 500 W,Bountiful,801-295-3051,0,,Blantons - Regular,016850
21,0009,STATE STORE # 9,5056 S STATE ST,Salt Lake City,801-262-7789,0,,Blantons - Regular,016850
22,0012,STATE STORE #12,402 E 6TH AVE  - STE 1,Salt Lake City,801-533-5905,0,,Blantons - Regular,016850
23,0015,STATE STORE #15,1863 E 7000 S,Salt Lake City,801-942-6234,0,,Blantons - Regular,016850
24,0016,STATE STORE #16,125 W 9000 S,Sandy,801-565-7922,0,,Blantons - Regular,016850
25,0017,STATE STORE #17,1688 N STATE,Orem,801-225-0119,0,,Blantons - Regular,016850
26,0018,STATE STORE #18,1580 S PROVIDENCE CTR DR,CEDAR CITY,801-586-1644,0,,Blantons - Regular,016850
27,0021,STATE STORE #21,484 N WALL ST,Ogden,801-393-2592,0,,Blantons - Regular,016850
28,0024,STATE STORE #24,1160 PATTERSON AVE,Ogden,801-394-1898,0,,Blantons - Regular,016850
29,0025,STATE STORE #25,3255 E 3300 S,Salt Lake City,801-468-0330,0,,Blantons - Regular,016850
30,0029,STATE STORE #29,1814 E MURRAY HOLLADAY RD,Salt Lake City,801-278-3572,0,,Blantons - Regular,016850
31,0031,STATE STORE #31,14445 S MINUTEMAN DR,Draper,801-495-2894,0,,Blantons - Regular,016850
32,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Blantons - Regular,016850
33,0037,STATE STORE #37,1612 UTE BLVD  - #103,Park City,435-658-0860,0,,Blantons - Regular,016850
34,0038,STATE STORE #38,1550 SNOWCREEK DR,Park City,435-615-8538,0,,Blantons - Regular,016850
35,0039,STATE STORE #39,161 N 900 E,Saint George,435-674-9550,0,,Blantons - Regular,016850
36,0041,STATE STORE #41,300 W HARRIS AVE,Salt Lake City,801-412-9972,0,,Blantons - Regular,016850
37,0044,STATE STORE #44,671 S PLEASANT GROVE BLVD,Pleasant Grove,801-785-0228,0,,Blantons - Regular,016850
38,0045,STATE STORE #45,1551 N 1750 W,Springville,801-489-4807,0,,Blantons - Regular,016850
39,0046,STATE STORE #46,6262 S 5600 W,Salt Lake City,801-685-4110,0,,Blantons - Regular,016850
40,0047,STATE STORE #47,865 W 1700 S,SYRACUSE,385-423-7030,0,,Blantons - Regular,016850
41,0048,STATE STORE #48,5278 W ANTHEM PEAK LANE,HERRIMAN,385-484-7255,0,,Blantons - Regular,016850
42,0050,STATE STORE #50,579 LAGOON DRPO BOX 8,FARMINGTON,385-988-7050,0,,Blantons - Regular,016850
43,0051,STATE STORE #51,4455 S 2700 W,TAYLORSVILLE,801-955-2100,0,,Blantons - Regular,016850
44,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,1,,Blantons - SFTB,016809
45,0015,STATE STORE #15,1863 E 7000 S,Salt Lake City,801-942-6234,0,,EH Taylor - Barrel Proof,021600
46,0016,STATE STORE #16,125 W 9000 S,Sandy,801-565-7922,0,,EH Taylor - Barrel Proof,021600
47,0018,STATE STORE #18,1580 S PROVIDENCE CTR DR,CEDAR CITY,801-586-1644,0,,EH Taylor - Barrel Proof,021600
48,0024,STATE STORE #24,1160 PATTERSON AVE,Ogden,801-394-1898,0,,EH Taylor - Barrel Proof,021600
49,0025,STATE STORE #25,3255 E 3300 S,Salt Lake City,801-468-0330,0,,EH Taylor - Barrel Proof,021600
50,0029,STATE STORE #29,1814 E MURRAY HOLLADAY RD,Salt Lake City,801-278-3572,0,,EH Taylor - Barrel Proof,021600
51,0031,STATE STORE #31,14445 S MINUTEMAN DR,Draper,801-495-2894,0,,EH Taylor - Barrel Proof,021600
52,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,EH Taylor - Barrel Proof,021600
53,0035,STATE STORE #35,255 S 300 E,Salt Lake City,801-533-6444,0,,EH Taylor - Barrel Proof,021600
54,0038,STATE STORE #38,1550 SNOWCREEK DR,Park City,435-615-8538,0,,EH Taylor - Barrel Proof,021600
55,0039,STATE STORE #39,161 N 900 E,Saint George,435-674-9550,0,,EH Taylor - Barrel Proof,021600
56,0041,STATE STORE #41,300 W HARRIS AVE,Salt Lake City,801-412-9972,0,,EH Taylor - Barrel Proof,021600
57,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,EH Taylor - Warehouse C,021592
58,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,Weller - 12,022026
59,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Weller - 12,022026
60,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,Weller - Full Proof,022044
61,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Weller - Full Proof,022044
62,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,Weller - Single,022046
63,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Weller - Single,022046
64,0033,STATE STORE #33,1675 S 900 W,Salt Lake City,801-975-4035,0,,Weller - CYPB,022042
65,0034,STATE STORE #34,1901 SIDEWINDER DR,Park City,435-649-7254,0,,Weller - CYPB,022042
66,0001,STATE STORE # 1,205 W 400 S,Salt Lake City,801-533-5901,0,,High West - A Mid Winter Nights Dram,027041
67,0002,STATE STORE # 2,1154 ASHTON AVE,Salt Lake City,801-463-4939,0,,High West - A Mid Winter Nights Dram,027041
68,0007,STATE STORE # 7,50 N 1ST W,Price,435-637-2700,0,,High West - A Mid Winter Nights Dram,027041
69,0008,STATE STORE # 8,520 N 500 W,Bountiful,801-295-3051,0,,High West - A Mid Winter Nights Dram,027041
70,0011,STATE STORE #11,7250 W 3500 S,Magna,801-250-2911,0,,High West - A Mid Winter Nights Dram,027041
71,0012,STATE STORE #12,402 E 6TH AVE  - STE 1,Salt Lake City,801-533-5905,0,,High West - A Mid Winter Nights Dram,027041
72,0015,STATE STORE #15,1863 E 7000 S,Salt Lake City,801-942-6234,0,,High West - A Mid Winter Nights Dram,027041
73,0016,STATE STORE #16,125 W 9000 S,Sandy,801-565-7922,0,,High West - A Mid Winter Nights Dram,027041
74,0017,STATE STORE #17,1688 N STATE,Orem,801-225-0119,0,,High West - A Mid Winter Nights Dram,027041
75,0018,STATE STORE #18,1580 S PROVIDENCE CTR DR,CEDAR CITY,801-586-1644,0,,High West - A Mid Winter Nights Dram,027041
